VERSION,SIZE,TIME
umbu,0.25,0.416
umbu,0.25,0.429
umbu,0.5,0.376
umbu,0.5,0.377
umbu,0.75,0.337
umbu,0.05,0.444
umbu,0.5,0.382
umbu,0.05,0.441
umbu,0.5,0.384
umbu,0.5,0.391
umbu,0.5,0.384
umbu,0.5,0.399
umbu,0.5,0.377
umbu,0.25,0.424
umbu,0.25,0.415
umbu,0.75,0.333
umbu,0.05,0.443
umbu,0.05,0.437
umbu,0.75,0.351
umbu,0.25,0.421
umbu,0.05,0.44
umbu,0.5,0.376
umbu,0.5,0.384
umbu,0.25,0.411
umbu,0.25,0.427
umbu,0.25,0.421
umbu,0.25,0.444
umbu,0.05,0.463
umbu,0.75,0.336
umbu,0.75,0.34
umbu,0.25,0.415
umbu,0.75,0.346
umbu,0.75,0.33
umbu,0.05,0.437
umbu,0.75,0.344
umbu,0.05,0.439
umbu,0.05,0.451
umbu,0.05,0.443
umbu,0.75,0.339
umbu,0.75,0.34
