VERSION,SIZE,TIME
noIO,2GB,517.29227644
IO,2GB,550.01403584
noIO,2GB,536.83450790
noIO,2GB,515.58613441
IO,2GB,568.95502504
IO,2GB,558.68734247
noIO,2GB,518.12527511
IO,2GB,571.09974196
noIO,2GB,537.40051296
IO,2GB,553.25465541
